gene	chromosome	start	end	strand	length
tetur26g91082	chromosome_1	1120454	1120842	-	389
tetur26g00180	chromosome_1	1130180	1132040	+	1861
tetur26g00190	chromosome_1	1132640	1135681	-	3042
tetur26g00200	chromosome_1	1136064	1139404	+	3341
tetur26g00210	chromosome_1	1140734	1141356	-	623
tetur26g00220	chromosome_1	1142603	1159013	+	16411
tetur26g00230	chromosome_1	1159648	1161693	-	2046
tetur26g00240	chromosome_1	1162295	1163210	-	916
tetur26g00250	chromosome_1	1163574	1167656	+	4083
tetur26g00260	chromosome_1	1163782	1178783	-	15002
tetur26g00270	chromosome_1	1180862	1181017	+	156
tetur26g00280	chromosome_1	1186798	1187111	-	314
tetur26g00290	chromosome_1	1194768	1195565	-	798
tetur26g00300	chromosome_1	1197685	1199337	-	1653
tetur26g00310	chromosome_1	1200077	1202920	-	2844
tetur26g00320	chromosome_1	1202934	1203631	-	698
tetur26g00330	chromosome_1	1204380	1204681	+	302
tetur26g00340	chromosome_1	1205232	1208009	-	2778
tetur26g00350	chromosome_1	1210005	1212727	+	2723
tetur26g00360	chromosome_1	1212792	1213481	-	690
tetur26g91318	chromosome_1	1213915	1215467	-	1553
tetur26g00370	chromosome_1	1215827	1217551	+	1725
tetur26g00380	chromosome_1	1218095	1218401	-	307
tetur26g00390	chromosome_1	1219043	1220208	-	1166
tetur26g00400	chromosome_1	1220658	1223276	+	2619
tetur26g00410	chromosome_1	1224134	1225044	-	911
tetur26g00420	chromosome_1	1227086	1227830	+	745
tetur26g00430	chromosome_1	1228907	1230375	+	1469
tetur26g00440	chromosome_1	1230834	1235202	+	4369
tetur26g00470	chromosome_1	1236302	1238162	+	1861
tetur26g00480	chromosome_1	1239397	1241333	+	1937
tetur26g00490	chromosome_1	1249762	1250486	+	725
tetur26g00500	chromosome_1	1252021	1252827	+	807
tetur26g00510	chromosome_1	1253556	1255510	+	1955
tetur26g00520	chromosome_1	1256102	1256417	+	316
tetur26g91084	chromosome_1	1256421	1257578	+	1158
tetur26g00530	chromosome_1	1258179	1260759	-	2581
tetur26g00540	chromosome_1	1262550	1263875	+	1326
tetur26g00550	chromosome_1	1266760	1268253	+	1494
tetur26g00560	chromosome_1	1268253	1268723	+	471
tetur26g00570	chromosome_1	1269672	1271553	+	1882
tetur26g00580	chromosome_1	1271770	1272088	+	319
tetur26g00590	chromosome_1	1274408	1274730	-	323
tetur26g00610	chromosome_1	1276723	1282876	+	6154
tetur26g00630	chromosome_1	1285427	1289821	+	4395
tetur26g00640	chromosome_1	1291558	1292535	-	978
tetur26g00650	chromosome_1	1295663	1326095	+	30433
tetur26g00670	chromosome_1	1327455	1334981	-	7527
tetur26g00680	chromosome_1	1336852	1337166	-	315
tetur26g00690	chromosome_1	1338778	1352123	-	13346
tetur26g02828	chromosome_1	1346635	1347424	+	790
tetur26g00710	chromosome_1	1353797	1354966	+	1170
tetur26g00720	chromosome_1	1355043	1356375	-	1333
tetur26g00730	chromosome_1	1356790	1360888	+	4099
tetur26g00740	chromosome_1	1360903	1362478	-	1576
tetur26g00750	chromosome_1	1363626	1366562	+	2937
tetur26g00760	chromosome_1	1371563	1373557	+	1995
tetur26g00780	chromosome_1	1373800	1375701	+	1902
tetur26g00790	chromosome_1	1375825	1378774	-	2950
tetur26g00800	chromosome_1	1379466	1380452	-	987
tetur26g00810	chromosome_1	1380533	1382014	+	1482
tetur26g00820	chromosome_1	1382101	1383023	-	923
tetur26g00830	chromosome_1	1384021	1385205	+	1185
tetur26g00840	chromosome_1	1385408	1386276	-	869
tetur26g00850	chromosome_1	1386588	1387059	-	472
tetur26g00860	chromosome_1	1386938	1388041	+	1104
tetur26g00870	chromosome_1	1388490	1389525	+	1036
tetur26g00880	chromosome_1	1389837	1390971	+	1135
tetur26g91086	chromosome_1	1391253	1391769	-	517
tetur26g00890	chromosome_1	1391990	1393292	+	1303
tetur26g00900	chromosome_1	1394645	1398762	-	4118
tetur26g02829	chromosome_1	1394857	1396000	+	1144
tetur26g00910	chromosome_1	1398868	1400143	+	1276
tetur26g00920	chromosome_1	1400167	1402044	-	1878
tetur26g00930	chromosome_1	1403108	1403671	+	564
tetur26g00940	chromosome_1	1404790	1406413	+	1624
tetur26g00950	chromosome_1	1406556	1407755	+	1200
tetur26g00960	chromosome_1	1408011	1411465	+	3455
tetur26g00970	chromosome_1	1412720	1413247	+	528
tetur26g00980	chromosome_1	1413377	1415152	-	1776
tetur26g00990	chromosome_1	1415962	1416800	+	839
tetur26g01000	chromosome_1	1417126	1418796	-	1671
tetur26g91087	chromosome_1	1422409	1423135	-	727
tetur26g01010	chromosome_1	1424586	1427183	+	2598
tetur26g01020	chromosome_1	1427949	1431767	-	3819
tetur26g01030	chromosome_1	1432066	1434034	+	1969
tetur26g01040	chromosome_1	1435989	1437515	+	1527
tetur26g01050	chromosome_1	1438074	1440022	-	1949
tetur26g01060	chromosome_1	1440271	1442219	+	1949
tetur26g01070	chromosome_1	1442484	1443633	+	1150
tetur26g01080	chromosome_1	1444019	1444928	-	910
tetur26g01090	chromosome_1	1445716	1446847	+	1132
tetur26g01100	chromosome_1	1448025	1449392	+	1368
tetur26g01110	chromosome_1	1450601	1453274	-	2674
tetur26g01120	chromosome_1	1453315	1455213	-	1899
tetur26g01130	chromosome_1	1456041	1458031	+	1991
tetur26g01140	chromosome_1	1458210	1459355	-	1146
tetur26g01150	chromosome_1	1460340	1464608	-	4269
tetur26g01160	chromosome_1	1466442	1469678	+	3237
tetur26g01170	chromosome_1	1470370	1471227	+	858
tetur26g01180	chromosome_1	1471908	1474187	+	2280
tetur26g01190	chromosome_1	1474701	1475619	-	919
tetur26g01200	chromosome_1	1479377	1479786	-	410
tetur26g01210	chromosome_1	1480458	1481113	-	656
tetur26g91088	chromosome_1	1482539	1482928	-	390
tetur26g01220	chromosome_1	1484080	1484711	-	632
tetur26g01230	chromosome_1	1485153	1486012	-	860
tetur26g01240	chromosome_1	1486314	1488162	-	1849
tetur26g01250	chromosome_1	1488524	1491187	-	2664
tetur26g01260	chromosome_1	1491522	1493415	+	1894
tetur26g01270	chromosome_1	1493573	1495947	-	2375
tetur26g01280	chromosome_1	1495928	1497185	-	1258
tetur26g01290	chromosome_1	1497553	1499680	-	2128
tetur26g01300	chromosome_1	1502886	1505684	+	2799
tetur26g01330	chromosome_1	1506531	1514362	+	7832
tetur26g01340	chromosome_1	1515472	1518001	+	2530
tetur26g01350	chromosome_1	1518825	1519207	-	383
tetur26g01360	chromosome_1	1519382	1521981	+	2600
tetur26g01370	chromosome_1	1522159	1530518	-	8360
tetur26g01380	chromosome_1	1532747	1536575	-	3829
tetur26g01390	chromosome_1	1538078	1562630	-	24553
tetur26g01400	chromosome_1	1552909	1563573	-	10665
tetur26g01410	chromosome_1	1565006	1565323	-	318
tetur26g01420	chromosome_1	1567379	1567775	-	397
tetur26g01430	chromosome_1	1568483	1570661	+	2179
tetur26g01440	chromosome_1	1571010	1572177	-	1168
tetur26g01450	chromosome_1	1574036	1574994	+	959
tetur26g01460	chromosome_1	1575562	1576605	+	1044
tetur26g01470	chromosome_1	1577413	1579422	+	2010
tetur26g01480	chromosome_1	1581101	1583168	+	2068
tetur26g02801	chromosome_1	1583512	1584310	-	799
tetur26g02802	chromosome_1	1585297	1586086	-	790
tetur26g01490	chromosome_1	1587018	1587955	-	938
tetur26g01500	chromosome_1	1588668	1589798	+	1131
tetur26g01510	chromosome_1	1590425	1591236	-	812
tetur26g02812	chromosome_1	1592030	1592943	-	914
tetur26g01520	chromosome_1	1594298	1596212	-	1915
tetur26g02822	chromosome_1	1596679	1599171	-	2493
tetur26g01530	chromosome_1	1602428	1602940	-	513
tetur26g01540	chromosome_1	1603532	1604242	-	711
tetur26g01550	chromosome_1	1606445	1608215	+	1771
tetur26g01560	chromosome_1	1608171	1613233	-	5063
tetur26g01570	chromosome_1	1613344	1614471	+	1128
tetur26g01580	chromosome_1	1614588	1617929	+	3342
tetur26g01590	chromosome_1	1620410	1620940	+	531
tetur26g01600	chromosome_1	1621358	1623575	+	2218
tetur26g01610	chromosome_1	1624924	1625957	-	1034
tetur26g01620	chromosome_1	1627128	1630224	+	3097
tetur26g01630	chromosome_1	1630753	1632983	-	2231
tetur26g01640	chromosome_1	1634259	1636710	+	2452
tetur26g02853	chromosome_1	1637910	1638008	+	99
tetur26g91091	chromosome_1	1638992	1640895	+	1904
tetur26g01650	chromosome_1	1641156	1641288	-	133
tetur26g01660	chromosome_1	1641769	1644186	+	2418
tetur26g01670	chromosome_1	1645770	1646585	+	816
tetur26g01680	chromosome_1	1649100	1649255	-	156
tetur26g01690	chromosome_1	1649704	1657791	+	8088
tetur26g01700	chromosome_1	1657872	1658581	-	710
tetur26g01710	chromosome_1	1659343	1667932	+	8590
tetur26g01730	chromosome_1	1668177	1669674	-	1498
tetur26g01740	chromosome_1	1670423	1671789	-	1367
tetur26g01750	chromosome_1	1673669	1675072	-	1404
tetur26g01760	chromosome_1	1677833	1680372	-	2540
tetur26g01770	chromosome_1	1681148	1685460	+	4313
tetur26g01780	chromosome_1	1686844	1692622	+	5779
tetur26g01790	chromosome_1	1692901	1694395	-	1495
tetur26g01800	chromosome_1	1702479	1704590	+	2112
tetur26g01810	chromosome_1	1704816	1705967	-	1152
tetur26g01820	chromosome_1	1706283	1706459	-	177
tetur26g01830	chromosome_1	1708195	1709952	-	1758
tetur26g01850	chromosome_1	1711151	1713465	-	2315
tetur26g91092	chromosome_1	1714381	1715055	-	675
tetur26g01860	chromosome_1	1715894	1734091	+	18198
tetur26g02831	chromosome_1	1728145	1728462	-	318
tetur26g01880	chromosome_1	1736505	1737405	+	901
tetur26g01890	chromosome_1	1738462	1744363	-	5902
tetur26g01900	chromosome_1	1745158	1745945	+	788
tetur26g01910	chromosome_1	1746758	1752601	-	5844
tetur26g01920	chromosome_1	1752808	1754785	+	1978
tetur26g01930	chromosome_1	1756324	1758370	-	2047
tetur26g91094	chromosome_1	1760453	1760903	+	451
tetur26g01940	chromosome_1	1766801	1767499	+	699
tetur26g01950	chromosome_1	1768257	1768568	-	312
tetur26g01960	chromosome_1	1768769	1769568	+	800
tetur26g01970	chromosome_1	1770156	1771174	+	1019
tetur26g01980	chromosome_1	1799249	1813479	-	14231
tetur26g02020	chromosome_1	1814760	1819513	+	4754
tetur26g02030	chromosome_1	1815409	1819513	+	4105
tetur26g02040	chromosome_1	1822299	1823001	-	703
tetur26g02050	chromosome_1	1824340	1826267	+	1928
tetur26g02060	chromosome_1	1826442	1830207	-	3766
tetur26g02070	chromosome_1	1830770	1838727	-	7958
tetur26g02080	chromosome_1	1840821	1842574	+	1754
tetur26g02090	chromosome_1	1842989	1851220	-	8232
tetur26g02130	chromosome_1	1851918	1853396	+	1479
tetur26g02140	chromosome_1	1853575	1854520	-	946
tetur26g02150	chromosome_1	1860271	1867413	+	7143
tetur26g02832	chromosome_1	1862930	1864609	+	1680
tetur26g02160	chromosome_1	1868543	1869233	-	691
tetur26g02170	chromosome_1	1869340	1869848	+	509
tetur26g02180	chromosome_1	1873760	1875307	+	1548
tetur26g02190	chromosome_1	1876633	1877474	-	842
tetur26g02200	chromosome_1	1877787	1878977	+	1191
tetur26g02210	chromosome_1	1879089	1879625	+	537
tetur26g91095	chromosome_1	1890976	1891244	+	269
tetur26g02220	chromosome_1	1916165	1917448	-	1284
tetur26g02230	chromosome_1	1919036	1919783	+	748
tetur26g02240	chromosome_1	1920423	1923424	-	3002
tetur26g02250	chromosome_1	1923868	1925463	-	1596
tetur26g02260	chromosome_1	1926211	1927530	+	1320
tetur26g02270	chromosome_1	1928773	1929719	+	947
tetur26g02280	chromosome_1	1930578	1931803	+	1226
tetur26g02290	chromosome_1	1932362	1933343	-	982
tetur26g02300	chromosome_1	1933801	1935865	+	2065
tetur26g02310	chromosome_1	1936819	1937166	-	348
tetur26g02320	chromosome_1	1938058	1939361	-	1304
tetur26g02330	chromosome_1	1939644	1942787	-	3144
tetur26g02340	chromosome_1	1943541	1946523	-	2983
tetur26g02350	chromosome_1	1946856	1950277	+	3422
tetur26g02360	chromosome_1	1951163	1953090	+	1928
tetur26g02370	chromosome_1	1953799	1955500	+	1702
tetur26g02380	chromosome_1	1956323	1958386	+	2064
tetur26g02390	chromosome_1	1959035	1961155	+	2121
tetur26g02400	chromosome_1	1961265	1965162	-	3898
tetur26g02410	chromosome_1	1966492	1967454	+	963
tetur26g02420	chromosome_1	1966916	1968539	-	1624
tetur26g02430	chromosome_1	1969243	1970140	-	898
tetur26g02440	chromosome_1	1970399	1973577	+	3179
tetur26g02450	chromosome_1	1973584	1974988	-	1405
tetur26g02460	chromosome_1	1975284	1976340	-	1057
tetur26g91096	chromosome_1	1976299	1978124	-	1826
tetur26g02470	chromosome_1	1978485	1980350	-	1866
tetur26g02480	chromosome_1	1986532	1988514	+	1983
tetur26g02490	chromosome_1	1989164	1995993	-	6830
tetur26g02500	chromosome_1	1993270	1995993	-	2724
tetur26g02510	chromosome_1	1997382	1999208	-	1827
tetur26g02520	chromosome_1	2000459	2002074	-	1616
tetur26g02530	chromosome_1	2003226	2004227	+	1002
tetur26g02540	chromosome_1	2004571	2005839	+	1269
tetur26g02550	chromosome_1	2006895	2008450	+	1556
tetur26g02560	chromosome_1	2009686	2011570	-	1885
tetur26g02570	chromosome_1	2012413	2013970	-	1558
tetur26g02580	chromosome_1	2014335	2017542	+	3208
tetur26g02590	chromosome_1	2018111	2021383	-	3273
tetur26g02600	chromosome_1	2022695	2026336	-	3642
tetur26g02610	chromosome_1	2026689	2028642	-	1954
tetur26g02620	chromosome_1	2032227	2037658	-	5432
tetur26g02630	chromosome_1	2040522	2041433	+	912
tetur26g02640	chromosome_1	2041983	2048692	+	6710
tetur26g02650	chromosome_1	2049054	2052593	-	3540
tetur26g02660	chromosome_1	2052682	2052904	-	223
tetur26g02670	chromosome_1	2055416	2059556	-	4141
tetur26g02680	chromosome_1	2060486	2070137	+	9652
tetur26g02700	chromosome_1	2077274	2081729	-	4456
tetur26g02710	chromosome_1	2082750	2083599	+	850
tetur26g02720	chromosome_1	2084579	2092631	+	8053
tetur26g02843	chromosome_1	2092911	2094560	+	1650
tetur26g02730	chromosome_1	2095688	2098865	+	3178
tetur26g02760	chromosome_1	2100639	2101298	+	660
tetur26g02903	chromosome_1	2101989	2106311	+	4323
tetur26g02780	chromosome_1	2103175	2128299	-	25125
tetur26g91097	chromosome_1	2135034	2135330	+	297
tetur26g02863	chromosome_1	2135991	2136872	+	882
tetur26g02790	chromosome_1	2136974	2137282	+	309
tetur26g02893	chromosome_1	2138066	2138452	+	387
tetur26g02800	chromosome_1	2138497	2138919	+	423
tetur01g91101	chromosome_1	2144440	2144718	+	279
tetur01g10300	chromosome_1	2153205	2153790	-	586
tetur01g10310	chromosome_1	2178062	2178784	-	723
tetur01g10320	chromosome_1	2180095	2186893	+	6799
tetur01g10330	chromosome_1	2187903	2188934	+	1032
tetur01g10340	chromosome_1	2189506	2191925	+	2420
tetur01g10350	chromosome_1	2192480	2192926	+	447
tetur01g10360	chromosome_1	2197294	2197843	-	550
tetur01g10370	chromosome_1	2198261	2200494	+	2234
tetur01g10380	chromosome_1	2204930	2205642	-	713
tetur01g10390	chromosome_1	2209396	2215065	+	5670
tetur01g10400	chromosome_1	2216528	2227752	+	11225
tetur01g10410	chromosome_1	2223156	2227752	+	4597
tetur01g10420	chromosome_1	2228750	2230452	-	1703
tetur01g10430	chromosome_1	2231415	2233045	-	1631
tetur01g91102	chromosome_1	2233543	2233884	-	342
tetur01g10440	chromosome_1	2235292	2235567	-	276
tetur01g10450	chromosome_1	2235808	2236742	+	935
tetur01g10460	chromosome_1	2237455	2237577	-	123
tetur01g10470	chromosome_1	2239592	2256880	+	17289
tetur01g16522	chromosome_1	2243241	2245775	-	2535
tetur01g16523	chromosome_1	2251619	2252844	-	1226
tetur01g10480	chromosome_1	2259569	2259751	+	183
tetur01g10490	chromosome_1	2261614	2263271	+	1658
tetur01g10500	chromosome_1	2263294	2264024	+	731
tetur01g10510	chromosome_1	2264608	2265745	+	1138
tetur01g10520	chromosome_1	2267747	2269728	+	1982
tetur01g10530	chromosome_1	2271700	2280307	+	8608
tetur01g10550	chromosome_1	2283933	2288731	+	4799
tetur01g10560	chromosome_1	2288854	2290550	-	1697
tetur01g10570	chromosome_1	2291810	2294641	-	2832
tetur01g10580	chromosome_1	2294808	2298949	+	4142
tetur01g10590	chromosome_1	2299041	2299540	+	500
tetur01g10600	chromosome_1	2299421	2302462	-	3042
tetur01g10610	chromosome_1	2302977	2305923	-	2947
tetur01g10620	chromosome_1	2306264	2309705	+	3442
tetur01g10630	chromosome_1	2310411	2311581	-	1171
tetur01g10640	chromosome_1	2312313	2314854	-	2542
