chromosome	length
scaffold_178	10126
scaffold_169	10121
scaffold_171	10025
scaffold_201	9847
scaffold_173	9765
scaffold_174	9716
scaffold_175	9651
scaffold_176	9624
scaffold_179	9546
scaffold_183	9515
scaffold_180	9483
scaffold_181	9466
scaffold_212	9462
scaffold_209	9438
scaffold_187	9089
scaffold_192	9052
scaffold_189	9011
scaffold_193	9011
scaffold_191	8968
scaffold_194	8828
scaffold_198	8465
scaffold_210	8448
scaffold_199	8214
scaffold_203	8154
scaffold_202	8068
scaffold_205	8007
scaffold_206	7957
scaffold_207	7941
scaffold_214	7540
scaffold_216	7476
scaffold_217	7276
scaffold_218	6991
scaffold_223	6826
scaffold_219	6758
scaffold_228	6752
scaffold_249	6705
scaffold_220	6590
scaffold_222	6528
scaffold_231	6398
scaffold_224	6347
scaffold_225	6314
scaffold_229	6299
scaffold_226	6261
scaffold_227	6243
scaffold_230	6198
scaffold_238	6153
scaffold_232	6142
scaffold_233	6125
scaffold_234	6087
scaffold_235	6079
scaffold_236	6079
scaffold_237	6076
scaffold_246	6051
scaffold_239	6045
scaffold_240	6036
scaffold_243	5973
scaffold_242	5942
scaffold_257	5861
scaffold_247	5820
scaffold_244	5817
scaffold_263	5809
scaffold_256	5780
scaffold_245	5775
scaffold_248	5704
scaffold_250	5658
scaffold_251	5622
scaffold_285	5610
scaffold_254	5598
scaffold_265	5590
scaffold_255	5586
scaffold_258	5528
scaffold_259	5520
scaffold_268	5517
scaffold_260	5495
scaffold_261	5422
scaffold_262	5402
scaffold_264	5386
scaffold_266	5376
scaffold_267	5354
scaffold_269	5283
scaffold_270	5243
scaffold_271	5222
scaffold_272	5219
scaffold_273	5139
scaffold_288	5135
scaffold_274	5121
scaffold_275	5104
scaffold_311	5089
scaffold_276	5019
scaffold_277	5014
scaffold_278	5014
scaffold_279	5003
scaffold_282	4962
scaffold_283	4942
scaffold_301	4924
scaffold_284	4920
scaffold_294	4901
scaffold_327	4892
scaffold_286	4884
scaffold_287	4882
scaffold_289	4854
scaffold_290	4850
scaffold_304	4840
scaffold_291	4837
scaffold_292	4813
scaffold_293	4808
scaffold_334	4793
scaffold_295	4778
scaffold_297	4761
scaffold_314	4755
scaffold_298	4753
scaffold_300	4729
scaffold_303	4704
scaffold_305	4677
scaffold_306	4674
scaffold_307	4671
scaffold_308	4663
scaffold_309	4659
scaffold_321	4640
scaffold_310	4630
scaffold_313	4609
scaffold_315	4583
scaffold_316	4582
scaffold_317	4577
scaffold_342	4569
scaffold_318	4548
scaffold_319	4548
scaffold_324	4547
scaffold_320	4541
scaffold_421	4490
scaffold_344	4470
scaffold_377	4467
scaffold_323	4458
scaffold_325	4440
scaffold_328	4424
scaffold_371	4420
scaffold_329	4416
scaffold_330	4416
scaffold_331	4406
scaffold_332	4387
scaffold_341	4384
scaffold_333	4377
scaffold_335	4367
scaffold_336	4363
scaffold_466	4351
scaffold_352	4320
scaffold_360	4318
scaffold_338	4310
scaffold_339	4304
scaffold_340	4291
scaffold_343	4269
scaffold_345	4260
scaffold_346	4252
scaffold_347	4250
scaffold_348	4238
scaffold_349	4237
scaffold_350	4233
scaffold_351	4231
scaffold_353	4220
scaffold_354	4217
scaffold_355	4217
scaffold_356	4210
scaffold_359	4192
scaffold_361	4180
scaffold_362	4178
scaffold_363	4169
scaffold_455	4158
scaffold_462	4126
scaffold_364	4125
scaffold_365	4121
scaffold_366	4109
scaffold_367	4107
scaffold_368	4105
scaffold_369	4105
scaffold_370	4105
scaffold_386	4099
scaffold_372	4083
scaffold_373	4082
scaffold_389	4080
scaffold_374	4078
scaffold_375	4071
scaffold_560	4064
scaffold_376	4053
scaffold_395	4052
scaffold_378	4044
scaffold_379	4042
scaffold_380	4036
scaffold_396	4031
scaffold_397	4030
scaffold_382	4029
scaffold_383	4020
scaffold_384	4020
scaffold_385	4006
scaffold_387	3997
scaffold_409	3985
scaffold_388	3983
scaffold_391	3968
scaffold_392	3966
scaffold_393	3966
scaffold_394	3959
scaffold_469	3957
scaffold_398	3923
scaffold_400	3916
scaffold_402	3912
scaffold_403	3909
scaffold_404	3908
scaffold_405	3901
scaffold_406	3901
scaffold_407	3894
scaffold_408	3885
scaffold_410	3883
scaffold_411	3869
scaffold_431	3868
scaffold_412	3867
scaffold_413	3865
scaffold_414	3861
scaffold_433	3854
scaffold_415	3852
scaffold_416	3851
scaffold_573	3851
scaffold_417	3848
scaffold_418	3845
scaffold_419	3832
scaffold_420	3830
scaffold_470	3822
scaffold_422	3814
scaffold_423	3812
scaffold_424	3805
scaffold_425	3792
scaffold_426	3790
scaffold_427	3789
scaffold_528	3784
scaffold_429	3781
scaffold_430	3775
scaffold_432	3765
scaffold_475	3765
scaffold_434	3750
scaffold_435	3742
scaffold_437	3735
scaffold_645	3732
scaffold_611	3729
scaffold_438	3717
scaffold_439	3712
scaffold_663	3711
scaffold_440	3701
scaffold_441	3697
scaffold_442	3696
scaffold_443	3690
scaffold_444	3688
scaffold_531	3686
scaffold_445	3684
scaffold_447	3674
scaffold_448	3672
scaffold_449	3667
scaffold_450	3665
scaffold_451	3660
scaffold_452	3655
scaffold_453	3648
scaffold_454	3647
scaffold_456	3639
scaffold_457	3639
scaffold_602	3639
scaffold_458	3633
scaffold_459	3631
scaffold_460	3627
scaffold_461	3607
scaffold_463	3582
scaffold_464	3580
scaffold_650	3575
scaffold_467	3571
scaffold_468	3562
scaffold_497	3553
scaffold_472	3550
scaffold_473	3544
scaffold_512	3542
scaffold_478	3539
scaffold_479	3537
scaffold_480	3533
scaffold_498	3533
scaffold_481	3532
scaffold_482	3518
scaffold_483	3512
scaffold_485	3497
scaffold_486	3496
scaffold_487	3495
scaffold_618	3490
scaffold_488	3487
scaffold_489	3483
scaffold_490	3476
scaffold_491	3476
scaffold_492	3473
scaffold_493	3472
scaffold_511	3469
scaffold_494	3467
scaffold_495	3466
scaffold_496	3453
scaffold_609	3437
scaffold_499	3432
scaffold_500	3428
scaffold_501	3425
scaffold_503	3412
scaffold_504	3407
scaffold_526	3403
scaffold_506	3393
scaffold_507	3386
scaffold_508	3383
scaffold_509	3382
scaffold_532	3382
scaffold_510	3372
scaffold_513	3368
scaffold_514	3363
scaffold_515	3358
scaffold_516	3358
scaffold_517	3355
scaffold_518	3347
scaffold_519	3347
scaffold_520	3338
scaffold_550	3337
scaffold_521	3335
scaffold_522	3328
scaffold_523	3323
scaffold_527	3298
scaffold_529	3295
scaffold_557	3293
scaffold_530	3289
scaffold_533	3280
scaffold_583	3277
scaffold_534	3264
scaffold_536	3252
scaffold_537	3248
scaffold_631	3239
scaffold_576	3237
scaffold_538	3235
scaffold_539	3235
scaffold_540	3229
scaffold_541	3227
scaffold_544	3223
scaffold_545	3222
scaffold_546	3220
scaffold_547	3217
scaffold_548	3213
scaffold_549	3213
scaffold_551	3210
scaffold_552	3209
scaffold_588	3208
scaffold_554	3203
scaffold_555	3201
scaffold_556	3197
scaffold_558	3190
scaffold_559	3189
scaffold_561	3188
scaffold_562	3187
scaffold_564	3184
scaffold_565	3176
scaffold_566	3163
scaffold_567	3157
scaffold_568	3156
scaffold_569	3156
scaffold_570	3155
scaffold_571	3153
scaffold_572	3150
scaffold_574	3141
scaffold_612	3139
scaffold_577	3134
scaffold_578	3124
scaffold_579	3122
scaffold_580	3122
scaffold_658	3121
scaffold_581	3119
scaffold_582	3117
scaffold_584	3114
scaffold_585	3114
scaffold_610	3112
scaffold_586	3110
scaffold_587	3108
scaffold_614	3099
scaffold_590	3087
scaffold_591	3085
scaffold_592	3085
scaffold_622	3085
scaffold_593	3083
scaffold_595	3083
scaffold_621	3083
scaffold_596	3077
scaffold_597	3077
scaffold_598	3074
scaffold_599	3074
scaffold_600	3072
scaffold_601	3071
scaffold_633	3063
scaffold_627	3055
scaffold_604	3054
scaffold_605	3052
scaffold_606	3042
scaffold_607	3033
scaffold_638	3020
scaffold_608	3016
scaffold_646	3001
scaffold_615	2998
scaffold_617	2988
scaffold_619	2987
scaffold_620	2985
scaffold_623	2967
scaffold_624	2957
scaffold_625	2953
scaffold_626	2952
scaffold_628	2945
scaffold_629	2942
scaffold_630	2939
scaffold_632	2935
scaffold_670	2934
scaffold_634	2925
scaffold_635	2919
scaffold_636	2908
scaffold_637	2903
scaffold_639	2891
scaffold_640	2886
scaffold_641	2875
scaffold_665	2873
scaffold_642	2869
scaffold_669	2869
scaffold_661	2868
scaffold_662	2863
scaffold_644	2843
scaffold_681	2830
scaffold_647	2818
scaffold_649	2800
scaffold_689	2798
scaffold_651	2788
scaffold_652	2771
scaffold_664	2770
scaffold_688	2744
scaffold_654	2742
scaffold_655	2740
scaffold_674	2735
scaffold_686	2730
scaffold_673	2729
scaffold_678	2723
scaffold_656	2713
scaffold_657	2708
scaffold_659	2691
scaffold_660	2684
scaffold_685	2681
scaffold_677	2672
scaffold_693	2672
scaffold_691	2670
scaffold_683	2642
scaffold_695	2640
scaffold_666	2638
scaffold_667	2604
scaffold_668	2596
scaffold_687	2592
scaffold_698	2576
scaffold_675	2568
scaffold_679	2542
scaffold_703	2529
scaffold_671	2520
scaffold_672	2494
scaffold_676	2468
scaffold_700	2453
scaffold_701	2428
scaffold_680	2424
scaffold_682	2396
scaffold_707	2355
scaffold_692	2318
scaffold_706	1677
scaffold_708	1655
scaffold_709	1404
scaffold_710	1321
scaffold_711	1309
scaffold_712	1281
scaffold_713	1216
scaffold_714	1205
scaffold_715	1173
scaffold_716	1082
scaffold_717	1064
